Link, Anchor Text
"https://www.google.com/webhp?hl=en", 
"http://www.kmbc.com/news/missouri-house-passes-bill-to-expand-birth-control-access/39225054", Missouri House passes bill to expand birth control access
"http://www.hastingstribune.com/missouri-house-passes-bill-to-expand-access-to-birth-control/article_6be1b1cb-3b8b-5ed7-a82d-221b95e88a62.html", Missouri House passes bill to expand access to birth control
"http://dunyanews.tv/en/World/333975-The-battle-for-birth-control-Afghanistans-new-fi", The battle for birth control: Afghanistan's new fight
"http://www.attn.com/stories/7687/heres-what-actually-happens-when-you-stop-using-birth-control", Here's What Actually Happens When You Stop Using Birth Control
"http://thinkprogress.org/health/2016/04/23/3771901/periods-in-space/", Space: The Final Frontier Of Birth Control
"http://grist.org/living/look-bros-were-as-fed-up-with-male-birth-control-options-as-you-are/", Look, bros — we're as fed up with male birth control options as you are
"http://www.fredericksburg.com/features/health_living/u-va-team-aims-to-develop-male-birth-control-drug/article_f8d2af22-437e-5bbc-a376-f0bd686cfe83.html", U.Va. team aims to develop male birth control drug
"http://healthcare.utah.edu/the-scope/shows.php?shows=0_yjuxr1r5", I'm Allergic to My Birth Control – Am I Normal?
"http://www.ksdk.com/news/local/illinois/ill-advances-bills-to-make-tampons-birth-control-affordable/149202737", Ill. advances bills to make tampons, birth control affordable
"http://www.huffingtonpost.com/nellwyn-lampert/birth-control-as-a-form-o_b_9733710.html", Birth Control as a Form of Rebellion
