Link, Anchor Text
"https://www.google.com/webhp?hl=en", 
"http://www.nytimes.com/2016/04/26/nyregion/de-blasio-denying-any-fund-raising-impropriety-cuts-short-news-conference.html", De Blasio, Denying Misdeeds Again, Says Claims May Be Driven by ...
"http://www.nytimes.com/2016/05/01/books/review/can-a-book-with-bad-politics-be-a-good-book.html", Can a Book With Bad Politics Be a Good Book?
"http://www.npr.org/2016/04/26/475729626/what-harriet-tubman-prince-and-beyonc-can-teach-us-about-politics", What Harriet Tubman, Prince And Beyonce Can Teach Us About ...
"http://billmoyers.com/story/the-endgame-of-2016%E2%80%B2s-anti-establishment-politics/", The Endgame of 2016′s Anti-Establishment Politics
"http://www.huffingtonpost.com/kristy-gustafson/why-many-millennials-coul_b_9773258.html", Why Many Millennials Couldn't Care Less About Politics
"http://www.dw.com/en/why-rap-music-has-politics-in-its-genes-but-not-its-swag/a-19215767", Why rap music has politics in its genes (but not its swag)
"http://www.digitaltrends.com/computing/politics-western-massachusetts-fiber-optic-mess/", Politics apparently tying up broadband access in Western ...
"http://thinkprogress.org/politics/2016/04/26/3772466/edwards-maryland-senate/", Why Maryland's Senate Primary Became A Battle Of Identity Politics
"http://www.latimes.com/politics/la-pol-essential-politics-20160426-story.html", Essential Politics: A subdued Senate debate
"http://abcnews.go.com/Politics/man-trumps-top-aide-paul-manafort-gop-politics/story?id=38676767", The Man Who Got Trump's Top Aide Paul Manafort Into GOP Politics ...
