Link, Anchor Text
"https://www.google.com/webhp?hl=en", 
"http://www.cnn.com/2016/04/26/politics/pennsylvania-delegates-trump-kasich-cruz/", Pennsylvania's wild card delegates could make or break Donald ...
"http://abcnews.go.com/Politics/donald-trump-advises-bernie-sanders-run-independent/story?id=38680366", Donald Trump Advises Bernie Sanders to Run as an Independent
"http://www.latimes.com/local/lanow/la-me-ln-how-home-of-disneyland-became-hostile-ground-for-donald-trump-20160426-story.html", Donald Trump faces battleground in Disneyland's hometown
"http://www.nytimes.com/2016/04/27/nyregion/after-a-legal-maneuver-donald-trumps-jet-is-cleared-to-fly.html", After a Legal Maneuver, Donald Trump's Jet Is Cleared to Fly
"http://nypost.com/2016/04/26/donald-trump-wants-to-drive-lena-dunham-out-of-america/", Donald Trump wants to drive Lena Dunham out of America
"http://www.thenation.com/article/brotherhood-of-bullies-bob-knight-endorses-donald-trump/", Brotherhood of Bullies: Bob Knight Endorses Donald Trump
"http://www.thedailybeast.com/articles/2016/04/26/italy-s-most-racist-politician-comes-to-philly-to-help-donald-trump.html", Italys Most Racist Politician Comes to Philly to Help Donald Trump
"http://nypost.com/2016/04/25/is-marco-rubio-the-key-to-donald-trumps-demise/", Is Marco Rubio the key to Donald Trump's demise?
"http://www.businessinsider.com/donald-trump-rio-hotel-construction-may-not-be-ready-for-olympics-2016-4", Donald Trump's hotel for the Rio Olympics is not done and housing ...
"http://time.com/4308145/donald-trump-ronald-reagan-echo/", Donald Trump Campaign Tension Echoes Reagan White House ...
