Link, Anchor Text
"https://www.google.com/webhp?hl=en", 
"http://www.ibtimes.com/us-president-barack-obama-teases-he-visited-london-meet-prince-george-2359589", US President Barack Obama Teases He Visited London To Meet ...
"http://screencrush.com/j-k-rowling-barack-obama/", JK Rowling Sat Down With Barack Obama During President's ...
"http://www.essence.com/2016/04/25/michele-obama-barack-obama%E2%80%99s-ability-%E2%80%98rise-above-fray%E2%80%99", Michelle Obama On Barack Obama's Ability to 'Rise Above the Fray'
"https://www.washingtonpost.com/news/reliable-source/wp/2016/04/25/barack-obama-the-first-alt-comedy-president/", Barack Obama, the first alt-comedy president
"http://reason.com/blog/2016/04/26/fracking-earth-day-and-barack-obama-new", Fracking, Earth Day, and Barack Obama: New at Reason
"http://www.reuters.com/article/us-mideast-crisis-usa-syria-idUSKCN0XL0ZE", Obama sends more Special Forces to Syria in fight against IS
"http://www.breitbart.com/london/2016/04/25/students-ban-boris-johnson-for-disrespecting-barack-obama/", 'The Footsoldiers of Conformism': Students Ban Boris Johnson For ...
"http://www.dw.com/en/barack-obama-goes-to-hanover-how-they-made-it-happen/a-19211475", Barack Obama goes to Hanover: How they made it happen
"http://blogs.wsj.com/washwire/2016/04/25/with-term-waning-barack-obama-aims-to-stabilize-relations-in-middle-east/", With Term Waning, Barack Obama Aims to Stabilize Relations in ...
"http://www.essence.com/2016/04/25/first-lady-michelle-obama-barack-obamas-ability-rise-above-fray", First Lady Michelle Obama On Barack Obama's Ability to 'Rise ...
