Link, Anchor Text
"https://www.google.com/webhp?hl=en", 
"http://abcnews.go.com/US/wireStory/georgia-governor-oks-state-funds-anti-abortion-centers-38679801", Georgia Governor OKs State Funds for Anti-Abortion Centers
"http://www.nbcnews.com/storyline/europes-abortion-fight/abortion-europe-coat-hanger-rebellion-grips-poland-n559621", Abortion in Europe: 'Coat Hanger Rebellion' Grips Poland
"http://www.motherjones.com/politics/2016/04/oklahoma-trying-pass-bill-would-make-most-abortions-illegal", Oklahoma Is About to Enact a Bill That Would Jail Abortion Providers
"http://thehill.com/policy/healthcare/277656-top-republican-calls-for-probe-into-abortion-services-at-community-health", Top GOP rep. calls for probe into abortion services at community ...
"http://wdtn.com/2016/04/26/activists-pack-license-hearing-for-ohio-abortion-clinic/", Activists pack license hearing for Ohio abortion clinic
"http://nypost.com/2016/04/26/woman-found-guilty-of-faking-cancer-to-get-an-abortion/", Woman found guilty of faking cancer to get late-term abortion
"http://www.lifenews.com/2016/04/26/botched-late-abortion-leaves-part-of-babys-head-inside-mothers-womb/", Botched Late-Abortion Leaves Part of Baby's Head Inside Mother's ...
"http://www.nytimes.com/2016/04/26/health/tanzanian-women-face-high-rates-of-abortion-related-deaths.html", Tanzanian Women Face High Rates of Abortion-Related Deaths
"http://www.lifenews.com/2016/04/26/south-dakota-becomes-third-state-to-tell-women-abortion-pill-can-be-reversed/", South Dakota Becomes Third State to Tell Women Abortion Pill Can ...
"http://www.lifenews.com/2016/04/26/abortion-activists-target-pro-life-governor-with-sick-color-your-junk-for-pence-event/", Abortion Activists Target Pro-Life Governor With Sick “Color Your ...
