Link, Anchor Text
"https://www.facebook.com/NationalRifleAssociation/?ref=nf", 
"https://www.facebook.com/NationalRifleAssociation/?fref=nf", 
"https://www.facebook.com/NationalRifleAssociation/posts/10154286049576833", April 21 at 2:00pm
"http://nr2a.org/KJ", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fnr2a.org%2FKJ&h=JAQG5AuXp&enc=AZOpu4EXihRgwrtkqRiBjiT-zvsViTrJMvRmGRSPMKEBhU1JLfkiKi1_dBjwiq4pvp06Xej7w0lJPqzTYwILZ9ece7Q-mnOGgU3FgjkO1ZaDYVc_7cdU9pDk2mdjSL1RZ4c3kfYjbiSw2SJ3alxu1GUDeiUncQPNZKUTGSYfoLNw60llJyPiNvLcl26JkaKpEMvZMPuy0s0eHw78HNHJl3TE&s=1", Gun Control Out of Control
"http://l.facebook.com/l.php?u=http%3A%2F%2Fnr2a.org%2FKJ&h=DAQFla2O8AQE1Shq_lxuyYrGBoS13j5HN8RWwJ-Ng7C-Amg&enc=AZMF1MJxEEy8-vtxGQvrWj8p2NsCCfEQpY73p7A23PSa2cRJXKSuC1FZxAFCSRDLnZq4O9PY6lGxyVOG1rgOlIl4UdCETXZnELOnH80z5PLQlsIWEoeT__8n5hKsgcEHGU3Imanh5T-LjUuG0eUjuoDIR9pCDU4sK8qyrZUfW2KhKXAK8Pmkf1-dByKrU_Dby-SYhvP5klLfJ-YPsfPJYhfC&s=1", 
"https://www.facebook.com/NationalRifleAssociation/posts/10154286049576833?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 319 Comments
"https://www.facebook.com/shares/view?id=10154286049576833&av=1465852484", 899 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10154286049576833&av=1465852484", 4.8K4.8K
"https://www.facebook.com/cnn/?ref=nf", 
"https://www.facebook.com/cnn/?fref=nf", 
"https://www.facebook.com/potus/", President Obama
"https://www.facebook.com/cnn/videos/10154355622631509/", See More
"https://www.facebook.com/cnn/videos/10154355622631509/?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 1.1K Comments
"https://www.facebook.com/shares/view?id=10154355622631509&av=1465852484", 844 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10154355622631509&av=1465852484", 5.2K5.2K
"https://www.facebook.com/mikehuckabee/?ref=nf", 
"https://www.facebook.com/mikehuckabee/?fref=nf", 
"https://www.facebook.com/mikehuckabee/videos/10153445065492869/", December 21, 2015
"https://www.facebook.com/mikehuckabee/videos/10153445065492869/?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 923 Comments
"https://www.facebook.com/shares/view?id=10153445065492869&av=1465852484", 4.5K Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153445065492869&av=1465852484", 11K11K
"https://www.facebook.com/search/top/?q=Gun%20Control#", Share
