Link, Anchor Text
"https://www.facebook.com/privacy/explanation", Privacy
"https://www.facebook.com/help/568137493302217", Ad Choices
"https://www.facebook.com/refinery29/?ref=nf", 
"https://www.facebook.com/refinery29/?fref=nf", 
"https://www.facebook.com/refinery29/posts/10154186072602922", April 21 at 12:00am
"http://r29.co/2390maE", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fr29.co%2F2390maE&h=PAQFNlhmr&enc=AZOnp8OWMPP3X-hvEpFFwcDNow873CWS1QePjbk8vC9Vj6WD-XgvGnCv0RBPqptcTGHCkMP2-7T0i4qzbFhFFfDcA38jaYU-Uha3dgnPsoUr1W33RnnYIzLfVwdz_h6409t5nGFG51fewK4zK_mqizCAvCz5STd4Wzv0gbIaxkjTRjLQCrUx1rwFpM1YGJ6f4ZjDCMSiNilGgU1phjvGS6rV&s=1", The Birth Control Side Effects No One Talks About
"http://l.facebook.com/l.php?u=http%3A%2F%2Fr29.co%2F2390maE&h=qAQEGW_w7AQEOl4WgLeGwj6INgVKPiLliQ37jhkSSzDmhAA&enc=AZMzuN50vAdCW0t7BlWO43Rn48hBPZX9UjMgBNbXsilQNxgx4jmOIs-71-i5zJsjRtV-2FwK1ySqO5G5ubugeBuoUCaVm5NjISd8X9arEQFcIeCjZODNMCAHI9ck5o15FORPP6UWvChZWxoqspat7EFUC94tX0nh3OBVoJaUvqRsIX8ECqIdBtRX1wPatUZz1Ngg8-QVDIHiBCj8y3qgKib7&s=1", 
"https://www.facebook.com/refinery29/posts/10154186072602922?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 7 Comments
"https://www.facebook.com/shares/view?id=10154186072602922&av=1465852484", 74 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10154186072602922&av=1465852484", 134134
"https://www.facebook.com/abcnews/?ref=nf", 
"https://www.facebook.com/abcnews/?fref=nf", 
"https://www.facebook.com/abcnews/posts/10153935765583812", December 1, 2015
"http://l.facebook.com/l.php?u=http%3A%2F%2Fabcn.ws%2F1MTPbri&h=zAQHGDBhFAQFs3dpG4sPIIluB1HLaro7QHvIMs43ncHlH6A&enc=AZOFJbATvVXb2uUxWqmNzquWh5re0r5vdWw84diNO-jOy4HVOl31QC8fV3eig-aeYKxubU407u06_sfknIcmnD2RwhpsSHCvmgIwN6uL8TNwdQ3Bhl3LQAyNAoFQ0vuqOMZl190OkbZW2qy27Lzy2VujdMYgD6F_5_7YNFqddlNgQB6umv3BWLmssG-eaDRUQjfK6LwfduZWhSK4DjTFmbQz&s=1", http://abcn.ws/1MTPbri
"http://l.facebook.com/l.php?u=http%3A%2F%2Fabcn.ws%2F1MTPbri&h=gAQGI2AY0&enc=AZMJ14zZ_k3JNNVOvO8bRwZ18FFOEMFnzpWjE6wGPSzirJyGEK6bZC2oN8auBfSazRZXL3o3A2jVxG1kDM2UNBG2RsP-anNXHwwBZ4wA7omafKCk8NW-VEKNNzi2nD8Q_ZKkoasLG9Htk7ju2r30KGOPMC83bZ6BCZcO-3_nyGay2O0f3S1Tq2QXj6ryso-cE8CFUGUMkkrI0ri9gpMxcyaa&s=1", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fabcn.ws%2F1MTPbri&h=NAQFgG77V&enc=AZOuIC2UUHSit4uGIDJOazxnT_z70TNuJtlE_2YoemlilmJdjzBHGlcrujcYaCumdUjseLCiSavgIzfxMx4P35kRViBe7T6eyYU7wrNUUms_rcnWdVx5_wVT0zFmrm2B1SOypSVoynfSCRaLefhegMHaaXrOVFN5OtciQkQe4VKhYIjpfuSEnGJ7J1jTBi9tA6qGBp-jBm4bYNFlvtIjr2nO&s=1", Cruz Defends Birth Control With No 'Rubber Shortage' Crack
"http://l.facebook.com/l.php?u=http%3A%2F%2Fabcn.ws%2F1MTPbri&h=4AQEm-wjYAQGqgdACIljJfcQ86bp-R7cYCDuC5oGWUsxNTg&enc=AZOZfVFD-peqxj8ir-ns9hpjhUJXaDTmo3Himzu66sQhq9AHE-DKyZnyCcyNavveSCv0jMqReGRq4FmVrFkjm_z5RZ03V6xZy5Utf4T6d4pIw5hVKmaZzoKpydgABF1XuiyBHXmNrxqSfNmbtZuR-lY_sE8wUJfcwYw8vJttfitMJ8JItvmfvkZQsTKYfYrmGZVvApwt1U3j3G4maBo0MGIH&s=1", 
"https://www.facebook.com/abcnews/posts/10153935765583812?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 783 Comments
"https://www.facebook.com/shares/view?id=10153935765583812&av=1465852484", 465 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=10153935765583812&av=1465852484", 1.5K1.5K
"https://www.facebook.com/CBSNews/?ref=nf", 
"https://www.facebook.com/CBSNews/?fref=nf", 
"https://www.facebook.com/CBSNews/posts/10153318768350950", January 4
"http://l.facebook.com/l.php?u=http%3A%2F%2Fcbsn.ws%2F1n0Td9f&h=EAQFSl_jd&enc=AZMk8HeHJjDsT__-HQAyhn4qsYVwsKxv6V5xi21sjDHDtg8O5anhYQoiYMGQ1eqKiVJSuMNs4AnqlXQyH6sFONiGOx3Fj5Da0_YKSCLR2sxP-NveDJQZP_4W6yD8FXIBZqdHdu92hIOY8FBci-CXLAFQJzbkvIkfGVuZ6jZ7o0TslWUeZX6Lo2qbtKfclFpCP0zXInDViH2DmSRTcuklpugG&s=1", 
