Link, Anchor Text
"https://www.google.com/webhp?hl=en&authuser=1", 
"http://www.stltoday.com/news/local/govt-and-politics/gas-tax-anti-gay-marriage-measure-face-missouri-lawmakers-in/article_a26c957c-d90f-5d8f-be1d-c6c46473bfa6.html", Gas tax, anti-gay marriage measure face Missouri lawmakers in final ...
"http://cnsnews.com/blog/mark-judge/prince-abortion-and-gay-marriage-god-came-earthand-just-cleared-it-all-out", Prince on Abortion and Gay Marriage: 'God Came to Earth...and Just ...
"http://www.cbsnews.com/news/ex-pa-senator-90-announces-same-sex-marriage-in-op-ed/", Ex-Pa. senator, 90, announces same-sex marriage in op-ed
"http://www.christiandaily.com/article/norwegian-catholic-church-to-drop-civil-weddings-to-take-stand-against-gay-marriage/51595.htm", Norway Catholic Church to drop civil weddings in stand against gay ...
"http://www.belfasttelegraph.co.uk/news/northern-ireland/peter-tatchell-urges-next-stormont-assembly-to-overturn-same-sex-marriage-ban-34660603.html", Peter Tatchell urges next Stormont Assembly to overturn same sex ...
"http://www.charlotteobserver.com/living/religion/article73685782.html", Charlotte gay wedding defies United Methodist Church rules
"http://www.dailymail.co.uk/news/article-3557095/Obama-says-daughters-changed-position-gay-marriage-realize-issue-stigma-legal-rights.html", Barack Obama says daughters Malia and Sasha changed his gay ...
"http://theorion.com/56139/opinion/there-is-no-rational-way-to-argue-against-gay-marriage/", There is no rational way to argue against gay marriage
"https://www.washingtonpost.com/news/acts-of-faith/wp/2016/04/21/raunchy-prince-was-actually-a-conservative-christian-who-reportedly-opposed-gay-marriage/", Raunchy Prince was actually a conservative Christian who ...
"http://www.gaystarnews.com/article/sex-marriage-finally-approved-isle-man/", Same-sex marriage finally approved in Isle of Man
