Link, Anchor Text
"https://www.google.com/webhp?hl=en&authuser=1", 
"http://www.latimes.com/nation/la-na-newtown-guns-20160426-story.html", As Clinton and Sanders spar over gun control, Newtown, Conn., is ...
"http://www.npr.org/2016/04/25/475631337/connecticut-democrats-divided-over-gun-control-ahead-of-primary", Connecticut Democrats Divided Over Gun Control Ahead Of Primary
"http://www.breitbart.com/big-hollywood/2016/04/25/brad-pitt-to-co-chair-brady-campaign-gun-control-awards-in-los-angeles/", Brad Pitt to Co-Chair Brady Campaign Gun Control Awards in Los ...
"http://www.reviewjournal.com/news/nevada/poll-says-nevadans-favor-gun-control-those-terror-watch-no-fly-lists", Poll says Nevadans favor gun control for those on terror watch, no ...
"https://news.vice.com/article/sanders-clinton-gun-control-sandy-hook-connecticut-primary", Clinton and Sanders Fight Over Gun Control Ahead of Connecticut's ...
"http://www.uppermichiganssource.com/content/news/Poll--376990981.html", Poll: Gun control and mass shootings
"http://www.factcheck.org/2016/04/cruzs-gun-control-deception/", Cruz's Gun Control Deception
"http://dailycaller.com/2016/04/23/ccw-weekend-gun-control-is-not-a-womens-issue-as-senator-gillibrand-claims/", CCW Weekend: Gun Control Is Not A "Women's Issue" As Senator ...
"http://www.nola.com/crime/index.ssf/2016/04/new_orleans_city_council_to_co.html", New Orleans City Council to consider 5 gun-control measures
"http://dailycaller.com/2016/04/22/chelsea-clinton-gun-control-is-possible-because-scalia-died-video/", Chelsea Clinton: Gun Control Is Possible Because Scalia Died ...
