Link, Anchor Text
"https://www.google.com/webhp?hl=en&authuser=1", 
"http://www.nytimes.com/2016/04/26/nytnow/your-tuesday-briefing-hillary-clinton-tom-brady-chernobyl.html", Your Tuesday Briefing: Hillary Clinton, Tom Brady, Chernobyl
"http://www.mediaite.com/tv/bernie-sanders-open-to-hillary-clinton-dream-ticket/", Bernie Sanders Open to Hillary Clinton 'Dream Ticket'
"http://www.salon.com/2016/04/26/what_everybody_missed_about_charles_kochs_endorsement_of_hillary_clinton/", What everybody missed about Charles Koch's “endorsement” of ...
"https://www.washingtonpost.com/news/the-fix/wp/2016/04/26/the-conservative-medias-obsession-with-hillary-clintons-coughing/", The conservative media's obsession with Hillary Clinton's coughing
"http://theslot.jezebel.com/hillary-clinton-promises-that-half-of-her-cabinet-will-1773099821", Hillary Clinton Promises That Half of Her Cabinet Will Be Women
"http://www.foxnews.com/opinion/2016/04/26/virginias-governor-hillary-clinton-and-felon-vote.html", Virginia's governor, Hillary Clinton and the felon vote
"http://www.thedailybeast.com/articles/2016/04/26/the-guy-who-screwed-america-s-economy-hearts-hillary-clinton.html", The Guy Who Screwed America's Economy Hearts Hillary Clinton
"http://time.com/4306966/lena-dunham-hillary-clinton-bernie-sanders/", Lena Dunham: Why I Chose Hillary Clinton
"http://www.wthr.com/story/31812256/hillary-clinton-visits-indiana-tuesday", Hillary Clinton, Bill Clinton visiting Indiana Tuesday
"http://www.cnbc.com/2016/04/26/ted-cruz-can-save-the-gop-by-losing-to-hillary-clinton-commentary.html", Ted Cruz can save the GOP by losing to Hillary Clinton in November
