Link, Anchor Text
"https://www.google.com/webhp?hl=en&authuser=1", 
"http://www.bloomberg.com/news/articles/2016-04-26/big-banks-would-have-to-boost-long-term-funding-under-u-s-plan", Big Banks Forced to Rely on Long-Term Funding Under U.S. Plan
"http://www.reuters.com/article/us-usa-banks-ratio-idUSKCN0XN1RW", US proposes rule to shrink big banks' liquidity risk
"http://www.barrons.com/articles/big-banks-to-see-more-commercial-credit-losses-1461684664", Big Banks to See More Commercial Credit Losses
"http://www.cnbc.com/2016/04/25/heres-one-place-big-banks-are-catching-a-break.html", Here's one place big banks are catching a break
"http://www.bloomberg.com/news/articles/2016-04-24/china-s-biggest-banks-stand-exposed-after-profit-buffers-eroded", China's Biggest Banks Stand Exposed After Profit Buffers Eroded
"http://www.afr.com/business/banking-and-finance/big-banks-set-to-maintain-pricing-power-for-now-20160426-gofehe", Big banks set to maintain pricing power for now
"http://www.marketwatch.com/story/have-big-banks-become-zombies-and-should-you-buy-them-2016-04-23", Have big banks become zombies and should you buy them?
"http://www.newyorker.com/business/currency/why-the-big-banks-cant-imagine-their-own-demises", Why the Big Banks Can't Imagine Their Own Demises
"http://www.wsj.com/articles/too-big-to-fail-so-what-say-bank-depositors-1461513849", Too Big to Fail? So What, Say Bank Depositors
"http://allafrica.com/stories/201604261128.html", Kenya: Why Big Banks May Not Cut Interest Rates Despite Increase ...
