Link, Anchor Text
"https://www.google.com/webhp?hl=en&authuser=1", 
"http://www.cnn.com/2016/04/26/politics/pennsylvania-delegates-trump-kasich-cruz/", Pennsylvania's wild card delegates could make or break Donald ...
"http://abcnews.go.com/Politics/donald-trump-advises-bernie-sanders-run-independent/story?id=38680366", Donald Trump Advises Bernie Sanders to Run as an Independent
"http://www.nytimes.com/2016/04/27/nyregion/after-a-legal-maneuver-donald-trumps-jet-is-cleared-to-fly.html", NY / Region|After a Legal Maneuver, Donald Trump's Jet Is Cleared ...
"http://nypost.com/2016/04/26/donald-trump-wants-to-drive-lena-dunham-out-of-america/", Donald Trump wants to drive Lena Dunham out of America
"http://www.thedailybeast.com/articles/2016/04/26/italy-s-most-racist-politician-comes-to-philly-to-help-donald-trump.html", Italys Most Racist Politician Comes to Philly to Help Donald Trump
"http://www.thenation.com/article/brotherhood-of-bullies-bob-knight-endorses-donald-trump/", Brotherhood of Bullies: Bob Knight Endorses Donald Trump
"http://www.nytimes.com/2016/04/26/opinion/the-donald-trump-pygmalion-project.html", The Donald Trump Pygmalion Project
"http://nypost.com/2016/04/25/is-marco-rubio-the-key-to-donald-trumps-demise/", Is Marco Rubio the key to Donald Trump's demise?
"http://townhall.com/columnists/johnhawkins/2016/04/26/6-reasons-donald-trump-isnt-fit-to-be-president-n2153631", 6 Reasons Donald Trump Isn't Fit To Be President
"http://www.salon.com/2016/04/26/donald_trumps_no_win_candidacy_trump_loses_whether_he_acts_more_presidential_or_keeps_acting_like_a_jerk/", Donald Trump's no-win candidacy: Trump loses whether he acts ...
