Link, Anchor Text
"https://www.google.com/webhp?hl=en&authuser=1", 
"http://www.nbcnews.com/storyline/europes-abortion-fight/abortion-europe-coat-hanger-rebellion-grips-poland-n559621", Abortion in Europe: 'Coat Hanger Rebellion' Grips Poland
"http://abcnews.go.com/US/wireStory/georgia-governor-oks-state-funds-anti-abortion-centers-38679801", Georgia Governor OKs State Funds for Anti-Abortion Centers
"http://thehill.com/policy/healthcare/277604-americorps-abortion-escorts-broke-federal-rules", AmeriCorps workers helped young women get abortions
"http://www.nytimes.com/2016/04/26/opinion/oklahomas-unabashed-attack-on-abortion.html", Oklahoma's Unabashed Attack on Abortion
"http://www.nytimes.com/2016/04/26/health/tanzanian-women-face-high-rates-of-abortion-related-deaths.html", Tanzanian Women Face High Rates of Abortion-Related Deaths
"http://nypost.com/2016/04/26/woman-found-guilty-of-faking-cancer-to-get-an-abortion/", Woman found guilty of faking cancer to get late-term abortion
"http://www.seattletimes.com/nation-world/activists-pack-license-hearing-for-ohio-abortion-clinic/", Activists pack license hearing for Ohio abortion clinic
"http://www.lifenews.com/2016/04/26/abortion-activists-target-pro-life-governor-with-sick-color-your-junk-for-pence-event/", Abortion Activists Target Pro-Life Governor With Sick “Color Your ...
"http://www.lifenews.com/2016/04/26/planned-parenthood-ceo-cecile-richards-compares-promoting-abortion-to-fighting-racism/", Planned Parenthood CEO Cecile Richards Compares Promoting ...
"http://www.cruxnow.com/church/2016/04/26/old-abortion-politics-drive-biden-backlash-at-notre-dame/", Old abortion politics drive Biden backlash at Notre Dame
