Link, Anchor Text
"https://www.google.com/webhp?hl=en&authuser=1", 
"http://ottawacitizen.com/news/local-news/uottawa-commits-to-cutting-carbon-footprint-but-not-full-divestment-from-fossil-fuels", uOttawa to seek ways to 'shift' fossil fuel investments; rejects full ...
"http://www.upi.com/Business_News/Energy-Industry/2016/04/26/Stanford-maintains-investments-in-fossil-fuels/7951461669668/", Stanford maintains investments in fossil fuels
"https://www.euractiv.com/section/climate-environment/news/biodiesel-worse-for-the-environment-than-fossil-fuels-warn-green-campaigners/", Biodiesel worse for the environment than fossil fuels, warn green ...
"http://patriotpost.us/articles/42170", Culture, Science & Faith Clearing the Air on Fossil Fuels
"http://www.treehugger.com/clean-technology/alaska-sealife-center-replaces-fossil-fuels-sea-water-power.html", Alaska SeaLife Center replaces fossil fuels with sea water power
"http://www.telegraph.co.uk/news/2016/04/25/eu-drive-for-green-biodiesel-has-increased-emissions-study-finds/", EU drive for 'green' biodiesel has increased emissions, study finds
"http://www.theguardian.com/environment/blog/2016/apr/24/fossil-fuels-divestment-tactic-tackling-climate-change", Is divesting from fossil fuels the best tactic for tackling climate change?
"http://www.theguardian.com/environment/2016/apr/26/scott-morrison-faces-pressure-to-cut-77bn-fossil-fuel-subsidies", Scott Morrison faces pressure to cut $7.7bn fossil fuel subsidies
"http://rabble.ca/blogs/bloggers/scott-vrooman/2016/04/students-across-canada-are-urging-divestment-fossil-fuels-heres", Students across Canada are urging divestment from fossil fuels ...
"http://grist.org/climate-energy/keystone-ization-is-the-fossil-fuel-industrys-new-nightmare/", “Keystone-ization” is the fossil fuel industry's new nightmare
