Link, Anchor Text
"https://www.google.com/webhp?hl=en&authuser=1", 
"http://www.nytimes.com/2016/04/26/us/politics/bernie-sanders-campaign.html", Bernie Sanders's Supporters Consider Where to Turn if His Bid Fails
"http://abcnews.go.com/Politics/donald-trump-advises-bernie-sanders-run-independent/story?id=38680366", Donald Trump Advises Bernie Sanders to Run as an Independent
"http://abcnews.go.com/Politics/bernie-sanders-movement-sees-progressives-planning-step/story?id=38674368", Bernie Sanders 'Movement' Sees Progressives Planning Next Step
"http://jalopnik.com/this-guy-made-a-bernie-sanders-art-car-out-of-a-100-00-1773066148", This Guy Made A Bernie Sanders Art Car Out Of A $100000 Corvette ...
"http://www.cnn.com/2016/04/26/politics/sanders-warren-running-mate/", Bernie Sanders floats Elizabeth Warren as possible VP
"http://nymag.com/daily/intelligencer/2016/04/whys-bernie-sanders-right-wing-on-taxing-soda.html", Why Is Bernie Sanders Making Right-Wing Arguments Against ...
"http://www.nytimes.com/2016/04/25/nytnow/your-monday-evening-briefing-bernie-sanders-donald-trump-johnny-manziel.html", Your Monday Evening Briefing: Bernie Sanders, Donald Trump ...
"http://www.businessinsider.com/bernie-sanders-democratic-party-hillary-2016-4", MSNBC host to Bernie Sanders: Are you 'hurting the party?'
"http://www.businessinsider.com/bernie-sanders-supporters-bros-tim-robbins-2016-4", Why Bernie Sanders fans are so annoying, as explained by Tim ...
"https://www.washingtonpost.com/news/wonk/wp/2016/04/25/bernie-sanders-is-profoundly-changing-how-millennials-think-about-politics-poll-shows/", Bernie Sanders is profoundly changing how millennials think about ...
