Link, Anchor Text
"https://www.google.com/webhp?hl=en&authuser=1", 
"http://www.ibtimes.com/us-president-barack-obama-teases-he-visited-london-meet-prince-george-2359589", US President Barack Obama Teases He Visited London To Meet ...
"http://www.essence.com/2016/04/25/michele-obama-barack-obama%E2%80%99s-ability-%E2%80%98rise-above-fray%E2%80%99", Michelle Obama On Barack Obama's Ability to 'Rise Above the Fray'
"https://www.washingtonpost.com/news/reliable-source/wp/2016/04/25/barack-obama-the-first-alt-comedy-president/", Barack Obama, the first alt-comedy president
"http://reason.com/blog/2016/04/26/fracking-earth-day-and-barack-obama-new", Fracking, Earth Day, and Barack Obama: New at Reason
"http://www.dailymail.co.uk/news/article-3559099/David-Cameron-s-election-guru-accuses-pro-EU-campaign-celebrating-victory-Obama-s-threats-trade-warns-s-soon-bunting.html", Barack Obama's trade threat to Britain has increased support for ...
"http://www.reuters.com/article/us-mideast-crisis-usa-syria-idUSKCN0XL0ZE", Obama sends more Special Forces to Syria in fight against IS
"http://www.essence.com/2016/04/25/first-lady-michelle-obama-barack-obamas-ability-rise-above-fray", First Lady Michelle Obama On Barack Obama's Ability to 'Rise ...
"http://blogs.wsj.com/washwire/2016/04/25/with-term-waning-barack-obama-aims-to-stabilize-relations-in-middle-east/", With Term Waning, Barack Obama Aims to Stabilize Relations in ...
"https://philanthropy.com/article/Barack-Obama-Foundation-Adds/236233?cid=cpfd_home", Barack Obama Foundation Adds Three Board Members
"http://www.theguardian.com/world/video/2016/apr/25/the-moment-a-student-told-barack-obama-she-was-non-binary-video", The moment a student told Barack Obama they were non-binary ...
