Link, Anchor Text
"https://www.facebook.com/nytopinion/?ref=nf", 
"https://www.facebook.com/nytopinion/?fref=nf", 
"https://www.facebook.com/nytopinion/posts/1300951299919823", 12 hrs
"http://www.nytimes.com/2016/04/25/opinion/rethinking-the-global-war-on-drugs.html?ref=opinion", 
"http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.nytimes.com%2F2016%2F04%2F25%2Fopinion%2Frethinking-the-global-war-on-drugs.html%3Fref%3Dopinion&h=0AQG-mXeM&enc=AZMAQrbzLsMfzcCxzHYPGuytiM142RNbB_b85VnF3Fo9MBMBRteGP34BZ-EOYRFjt7j9Cxw8kxMgLIvZmN0LCk-xN3SRDW3wA5oGpQeNzz3DPxoygyHk7_H2Nl4hzK82PsD9q-tXIEL_DzTGbEgv4wJ_0WH2tIMvypkljbtKof2QGbC2OeeuAuAlY-B8J-qwp6vgRJ_aKWZ8o_6EbHTFX49J&s=1", Rethinking the Global War on Drugs
"http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.nytimes.com%2F2016%2F04%2F25%2Fopinion%2Frethinking-the-global-war-on-drugs.html%3Fref%3Dopinion&h=6AQFJ3MdeAQGXwbB6HYTIpQN-m2Riaq84pVlZmKSr-N1bQA&enc=AZMN07xmXpi8I_n_zpbcx8h2i8A4YwJ2Vdhgcpsuk35f94Csw15kJccOLar7mKLBsIV2X6I2DwNcPY7He5TctBd71xFXVvZmw2n-H3T221DUUB1Y5Gu6ZDGGSCVxq0-Pz-s-Y5Mb56UW6Pzc1JRvEXSNLAeh-RlkjHAdP_C4kyvDQlt-8ku2lD7bm4K8d3IWMIN0edi5MaivmwZzV6NLGTkL&s=1", 
"https://www.facebook.com/nytopinion/posts/1300951299919823?comment_tracking=%7B%22tn%22%3A%22O%22%7D", 6 Comments
"https://www.facebook.com/shares/view?id=1300951299919823&av=100000246601123", 42 Shares
"https://www.facebook.com/ufi/reaction/profile/browser/?ft_ent_identifier=1300951299919823&av=100000246601123", 139139
"https://www.facebook.com/Vox/?ref=nf", 
"https://www.facebook.com/Vox/?fref=nf", 
"https://www.facebook.com/Vox/posts/511806679006939", 11 hrs
"http://l.facebook.com/l.php?u=http%3A%2F%2Fwww.vox.com%2F2016%2F4%2F25%2F11445454%2Fend-war-on-drugs%3Futm_campaign%3Dvox%26utm_content%3Dchorus%26utm_medium%3Dsocial%26utm_source%3Dfacebook&h=MAQHIUcwZ&enc=AZP04sGCbgwvx4Qwy-d7SM12qnKEGixkHG2PjZutlN3OomUkIqDx7Mk08otDirPSo82yjSnC_LdSHKAX0OJmAbhwXJRlgZSsjBtth9KMeq8xIc7GJL_agkiuw1j7n5vUHCi47PohIkAn1he1zlVIM-CR4V2GUKeIiBYnHMNKhqyhfNspCWPJtzwojLnMsQDE1dZLevW-XeiXQUvrYKR1Y7F9&s=1", 
